,product_name,generic_name,brands,categories
810,Orangeade Pulpée light,Boisson gazéifiée allégée en sucres au jus d'orange pulpé à base de concentré avec édulcorants,U,"Boissons,Boissons à base de végétaux,Boissons gazeuses,Boissons aux fruits,Boissons édulcorées,Sodas,Boissons light,Sodas aux fruits,Sodas light,Sodas aux fruits light,Sodas à l'orange light"
811,Filets de Sardines (à L'Huile d'Olive vierge extra) Lot de 3,Filets de sardines à l'huile d'olive vierge extra,Saupiquet,"Conserves,Produits de la mer,Poissons,Poissons en conserve,Sardines,Sardines en conserve,Filets de poissons,Sardines à l'huile,Filets de sardines,Sardines à l'huile d'olive,Filets de sardines à l'huile d'olive"
812,Pesto Ligure,,TerraSana,Sauces Pesto
813,Maroilles Fermier,,La Ferme du Pont des Loups,"Maroilles,Fromages au lait cru"
814,Saucisson sanglier,,Fuet Extra,
815,Cavatappi,,Il Gusto Italia,
816,Aiguillettes de poulet,,Carrefour,Aiguillettes de poulet
817,Cabillaud Sauce chorizo Riz au pavot ,"Plat cuisiné à base de cabillaud, riz au pavot et sauce au chorizo",Fleury Michon,"Frais,Plats préparés,Plats préparés à réchauffer au micro-ondes,Plats à base de poisson,Plats préparés frais"
818,Riz basmati naturellement parfumé,Riz basmati,"Vivien paille,Perliz","Céréales,Riz"
819,Le Viennois (Café),Dessert lacté au café,"Nestlé,Le Viennois","Frais,Produits laitiers,Desserts,Crèmes dessert,Desserts lactés,Crèmes dessert café,Desserts lactés au café"
820,Superfruit Edition,,Brainfood News,
821,chocolat noir 70 % amandes caramélisées,chocolat noir ,Bouillet,"Snacks sucrés,Chocolats,Chocolats avec amandes"
822,Dés de Cachir goût boeuf,Préparation féculée à base de viande séparée mécaniquement de dinde halal et goût boeuf,Isla Délice,"Viandes,Charcuteries,cachirs"
823,Pommes Coings sans sucres ajoutés,,Charles & Alice,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Desserts,Fruits et produits dérivés,Compotes,Compotes de pomme,Compotes pommes coing"
824,Crackers sticks aux graines,,Picard,
825,Muesli croustillant au chocolat au lait,,Tous Les Jours,"Mueslis,Mueslis au chocolat"
826,Fitoform,,Fitoform,Compléments alimentaires
827,435ML Sauce Sriracha Suree,,E.Leclerc,
828,Confiture framboise,,Produit Luberon,
829,Babybio optima lait nourrissant,,Babybio,"en:baby-foods, en:baby-milks, en:infant-formulas, en:milks"
830,Innocent Orange Juice Smooth,,Innocent,jus d'orange
831,6 Quenelles Financières,,Sans marque,"Frais,Plats préparés,Quenelles,Plats préparés frais,Quenelles financières"
832,Mini marbrés,,Petit Choisi,
833,Le Saumon Fumé Fromage Frais et Citron Vert Pain Polaire,"Sandwich au saumon fumé, fromage fais, fromage blanc, jus de citron vert à base de concentré et zeste de citron vert",monop'daily,"Sandwichs,Sandwichs au poisson,Sandwichs au saumon,Sandwich polaire"
834,"Boudins Noirs, Aux Oignons",Boudin noir aux oignons,"Carrefour,CMI (Carrefour Marchandises Internationales),Groupe Carrefour","Frais,Viandes,Charcuteries,Poissons et viandes et oeufs,Abats,Boudins,Produits tripiers,Boudins noirs,Boudins noirs aux oignons"
